t_s,x_px,y_px
28.0800,830.57,1111.66
28.1200,859.94,1106.28
28.1600,883.34,1101.46
28.2000,899.48,1097.91
28.2400,908.18,1095.91
28.2800,901.69,1097.75
28.3200,886.29,1101.52
28.3600,863.41,1106.52
28.4000,833.72,1112.46
28.4400,798.11,1118.50
28.4800,710.07,1130.48
28.5200,659.97,1135.00
28.5600,606.91,1137.94
28.6000,553.05,1139.27
28.6400,500.12,1138.76
28.6800,402.74,1132.78
28.7200,358.45,1128.17
28.7600,318.04,1122.54
28.8000,284.42,1116.97
28.8400,258.18,1111.88
28.8800,227.19,1105.22
28.9200,222.59,1104.16
28.9600,224.78,1104.56
29.0000,233.97,1106.53
29.0400,250.13,1109.60
29.0800,301.86,1119.12
29.1200,337.13,1123.98
29.1600,377.04,1128.82
29.2000,419.70,1132.91
29.2400,465.07,1135.92
29.2800,562.30,1137.83
29.3200,611.98,1136.32
29.3600,660.60,1133.48
29.4000,706.74,1129.41
29.4400,750.59,1124.47
29.4800,824.32,1112.82
29.5200,853.52,1107.54
29.5600,877.13,1102.70
29.6000,893.43,1099.65
29.6400,902.53,1097.64
29.6800,897.08,1099.35
29.7200,882.46,1103.01
29.7600,860.21,1107.69
29.8000,831.40,1113.32
29.8400,796.74,1119.33
29.8800,710.08,1131.00
29.9200,660.67,1135.62
29.9600,608.89,1138.52
30.0000,556.30,1140.02
30.0400,504.09,1139.12
30.0800,407.92,1133.08
30.1200,364.16,1128.66
30.1600,324.83,1123.40
30.2000,291.22,1118.03
30.2400,264.95,1113.15
30.2800,233.71,1106.12
30.3200,228.70,1104.92
30.3600,230.22,1105.09
30.4000,238.99,1106.62
30.4400,254.54,1109.79
30.4800,304.51,1118.42
30.5200,338.83,1123.37
30.5600,377.49,1128.02
30.6000,419.56,1131.96
30.6400,463.64,1135.09
30.6800,558.77,1137.23
30.7200,607.72,1136.24
30.7600,656.05,1133.35
30.8000,702.23,1129.59
30.8400,745.30,1124.97
30.8800,818.76,1114.16
30.9200,847.76,1109.10
30.9600,871.23,1104.80
31.0000,887.69,1101.20
31.0400,896.87,1099.20
31.0800,892.03,1100.95
31.1200,877.87,1104.35
31.1600,856.34,1108.81
31.2000,828.38,1114.12
31.2400,753.94,1126.09
31.2800,709.41,1131.30
31.3200,661.42,1135.81
31.3600,610.78,1138.72
31.4000,559.04,1139.85
31.4400,459.09,1136.90
31.4800,413.00,1133.84
31.5200,370.19,1129.63
31.5600,331.09,1124.16
31.6000,298.33,1119.13
31.6400,252.22,1110.05
31.6800,240.18,1107.43
31.7200,234.59,1105.94
31.7600,235.70,1106.09
31.8000,243.40,1106.35
31.8400,279.91,1113.77
31.8800,307.43,1118.54
31.9200,340.48,1122.89
31.9600,378.81,1127.37
32.0000,419.45,1131.35
32.0400,509.49,1136.38
32.0800,557.29,1136.71
32.1200,605.57,1135.87
32.1600,652.99,1133.35
32.2000,697.95,1129.90
32.2400,779.28,1120.21
32.2800,813.43,1115.15
32.3200,841.99,1110.38
32.3600,865.01,1106.09
32.4000,881.66,1102.86
32.4400,892.49,1100.90
32.4800,886.85,1102.39
32.5200,873.10,1105.44
32.5600,851.99,1110.06
32.6000,825.15,1115.21
32.6400,752.90,1126.66
32.6800,709.29,1131.76
32.7200,662.23,1135.98
32.7600,612.49,1139.02
32.8000,561.56,1140.05
32.8400,463.65,1137.99
32.8800,418.10,1134.23
32.9200,375.95,1129.90
32.9600,337.68,1124.98
33.0000,304.63,1119.76
33.0400,258.65,1110.88
33.0800,246.03,1108.06
33.1200,240.60,1106.57
33.1600,241.25,1106.51
33.2000,249.08,1107.68
33.2400,284.07,1113.85
33.2800,311.14,1118.36
33.3200,343.46,1122.81
33.3600,380.43,1127.36
33.4000,420.57,1131.34
33.4400,508.37,1136.24
33.4800,555.17,1137.07
33.5200,602.85,1136.31
33.5600,649.44,1133.96
33.6000,693.71,1130.58
33.6400,773.72,1121.49
33.6800,807.73,1116.61
33.7200,835.89,1111.95
33.7600,858.70,1108.00
33.8000,875.40,1104.81
33.8400,886.70,1102.79
33.8800,881.96,1104.25
33.9200,868.84,1107.58
33.9600,849.05,1111.64
34.0000,822.66,1116.86
34.0400,751.73,1127.89
34.0800,709.08,1132.65
34.1200,662.79,1136.60
34.1600,614.23,1139.31
34.2000,564.21,1140.46
34.2400,466.96,1137.82
34.2800,422.18,1134.32
34.3200,380.66,1130.14
34.3600,342.37,1125.38
34.4000,309.88,1120.31
34.4400,264.59,1111.54
34.4800,251.99,1108.57
34.5200,246.09,1107.07
34.5600,246.63,1106.97
34.6000,267.88,1110.72
34.6400,288.08,1114.19
34.6800,314.47,1118.52
34.7200,346.48,1123.01
34.7600,382.79,1127.35
34.8000,463.61,1134.29
34.8400,507.57,1136.34
34.8800,553.36,1137.10
34.9200,600.57,1136.38
34.9600,645.80,1134.31
35.0000,731.39,1127.22
35.0400,769.04,1122.71
35.0800,802.21,1117.58
35.1200,830.46,1113.22
35.1600,853.07,1109.29
35.2000,879.71,1104.53
35.2400,881.82,1104.44
35.2800,877.14,1105.60
35.3200,864.65,1108.53
35.3600,845.41,1112.71
35.4000,787.77,1122.71
35.4400,750.38,1127.85
35.4800,708.43,1132.40
35.5200,663.18,1136.13
35.5600,615.15,1138.85
35.6000,516.64,1139.82
35.6400,470.26,1137.90
35.6800,426.21,1134.20
35.7200,385.34,1130.07
35.7600,348.03,1125.04
35.8000,289.36,1115.73
35.8400,270.55,1112.27
35.8800,258.07,1109.52
35.9200,252.21,1107.87
35.9600,252.74,1107.62
36.0000,273.25,1111.20
36.0400,293.10,1114.58
36.0800,318.48,1118.63
36.1200,349.40,1122.89
36.1600,385.05,1127.22
36.2000,464.34,1133.97
36.2400,507.21,1136.00
36.2800,552.23,1137.09
36.3200,597.82,1136.80
36.3600,642.72,1134.92
36.4000,727.20,1128.11
36.4400,764.12,1123.79
36.4800,797.86,1118.85
36.5200,825.61,1114.63
36.5600,848.07,1110.90
36.6000,874.80,1106.32
36.6400,876.95,1106.21
36.6800,872.63,1107.27
36.7200,860.82,1110.06
36.7600,841.64,1113.83
36.8000,785.35,1123.19
36.8400,748.18,1128.23
36.8800,707.18,1132.82
36.9200,662.15,1136.46
36.9600,615.06,1139.09
37.0000,518.56,1139.55
37.0400,472.53,1137.39
37.0800,429.17,1134.11
37.1200,389.20,1130.12
37.1600,352.64,1125.50
37.2000,295.73,1116.15
37.2400,276.89,1112.32
37.2800,264.53,1109.60
37.3200,258.73,1108.21
37.3600,258.95,1108.21
37.4000,278.22,1111.70
37.4400,297.17,1114.96
37.4800,321.91,1118.88
37.5200,352.16,1123.05
37.5600,386.66,1127.31
37.6000,464.02,1134.30
37.6400,506.47,1136.20
37.6800,550.92,1137.18
37.7200,595.98,1136.88
37.7600,640.28,1135.26
37.8000,723.48,1129.01
37.8400,760.24,1124.86
37.8800,793.00,1120.29
37.9200,820.93,1115.82
37.9600,843.39,1112.16
38.0000,870.13,1108.07
38.0400,872.71,1107.72
38.0800,868.18,1108.81
38.1200,856.17,1111.25
38.1600,813.00,1119.11
38.2000,782.13,1123.77
38.2400,745.78,1128.65
38.2800,705.19,1132.54
38.3200,661.94,1136.11
38.3600,567.65,1139.51
38.4000,520.47,1138.99
38.4400,475.36,1137.15
38.4800,432.74,1133.97
38.5200,393.85,1130.23
38.5600,327.00,1121.09
38.6000,301.92,1116.64
38.6400,282.97,1112.97
38.6800,270.59,1110.55
38.7200,264.28,1109.11
38.7600,270.18,1110.15
38.8000,282.37,1112.40
38.8400,300.66,1115.57
38.8800,324.91,1119.60
38.9200,354.26,1124.03
38.9600,424.78,1131.65
39.0000,464.27,1134.64
39.0400,506.12,1136.62
39.0800,549.54,1137.50
39.1200,593.71,1137.50
39.1600,679.87,1133.30
39.2000,719.96,1130.10
39.2400,756.50,1126.07
39.2800,789.15,1121.60
39.3200,816.62,1117.60
39.3600,855.15,1111.12
39.4000,865.04,1109.18
39.4400,867.87,1108.87
39.4800,863.50,1109.73
39.5200,851.72,1112.18
39.5600,808.68,1119.54
39.6000,778.23,1124.05
39.6400,742.78,1128.87
39.6800,703.29,1132.48
39.7200,660.07,1135.89
