t_s,theta_teo_rad,omega_teo_rad_s,alpha_teo_rad_s2,theta_sim_rad,omega_sim_rad_s,alpha_sim_rad_s2
7.8400,-0.233765,0.762243,4.708516,-0.173938,0.834413,3.440558
7.8800,-0.199683,0.937324,4.022016,-0.137979,0.958738,2.724862
7.9200,-0.159182,1.082278,3.206245,-0.097648,1.052402,1.919595
7.9600,-0.113565,1.192448,2.287423,-0.054237,1.112306,1.050772
8.0000,-0.064297,1.264291,1.295082,-0.009141,1.136463,0.147360
8.0400,-0.012964,1.295499,0.261115,0.036192,1.124094,-0.759991
8.0800,0.038787,1.285068,-0.781244,0.080306,1.075664,-1.640444
8.1200,0.089290,1.233334,-1.798493,0.121787,0.992859,-2.464505
8.1600,0.136924,1.141960,-2.757937,0.159313,0.878504,-3.205371
8.2000,0.180157,1.013883,-3.628739,0.191697,0.736429,-3.839951
8.2400,0.217600,0.853218,-4.382910,0.217920,0.571308,-4.349469
8.2800,0.248049,0.665130,-4.996211,0.237165,0.388472,-4.719681
8.3200,0.270525,0.455664,-5.448929,0.248839,0.193733,-4.940808
8.3600,0.284306,0.231553,-5.726515,0.252587,-0.006793,-5.007327
8.4000,0.288950,-0.000000,-5.820045,0.248302,-0.206853,-4.917778
8.4400,0.284306,-0.231553,-5.726515,0.236128,-0.400215,-4.674676
8.4800,0.270525,-0.455664,-5.448929,0.216455,-0.580827,-4.284582
8.5200,0.248049,-0.665130,-4.996211,0.189908,-0.742982,-3.758266
8.5600,0.217600,-0.853218,-4.382910,0.157332,-0.881488,-3.110875
8.6000,0.180157,-1.013883,-3.628739,0.119764,-0.991852,-2.361948
8.6400,0.136924,-1.141960,-2.757937,0.078408,-1.070444,-1.535140
8.6800,0.089290,-1.233334,-1.798493,0.034588,-1.114663,-0.657557
8.7200,0.038787,-1.285068,-0.781244,-0.010287,-1.123049,0.241296
8.7600,-0.012964,-1.295499,0.261115,-0.054775,-1.095359,1.130877
8.8000,-0.064297,-1.264291,1.295082,-0.097447,-1.032579,1.981115
8.8400,-0.113565,-1.192448,2.287423,-0.136941,-0.936870,2.763858
8.8800,-0.159182,-1.082278,3.206245,-0.172001,-0.811470,3.454072
8.9200,-0.199683,-0.937324,4.022016,-0.201518,-0.660544,4.030681
8.9600,-0.233765,-0.762243,4.708516,-0.224569,-0.489016,4.476992
9.0000,-0.260335,-0.562662,5.243680,-0.240438,-0.302385,4.780786
9.0400,-0.278537,-0.344998,5.610308,-0.248637,-0.106553,4.934187
9.0800,-0.287787,-0.116245,5.796615,-0.248921,0.092350,4.933457
9.1200,-0.287787,0.116245,5.796615,-0.241291,0.288124,4.778846
9.1600,-0.278537,0.344998,5.610308,-0.225995,0.474658,4.474574
9.2000,-0.260335,0.562662,5.243680,-0.203520,0.646090,4.028941
9.2400,-0.233765,0.762243,4.708516,-0.174582,0.796973,3.454500
9.2800,-0.199683,0.937324,4.022016,-0.140101,0.922450,2.768163
9.3200,-0.159182,1.082278,3.206245,-0.101180,1.018426,1.991089
9.3600,-0.113565,1.192448,2.287423,-0.059063,1.081737,1.148254
9.4000,-0.064297,1.264291,1.295082,-0.015105,1.110286,0.267621
9.4400,-0.012964,1.295499,0.261115,0.029283,1.103147,-0.621044
9.4800,0.038787,1.285068,-0.781244,0.072675,1.060603,-1.487589
9.5200,0.089290,1.233334,-1.798493,0.113679,0.984139,-2.302957
9.5600,0.136924,1.141960,-2.757937,0.150988,0.876366,-3.040520
9.6000,0.180157,1.013883,-3.628739,0.183418,0.740898,-3.677118
9.6400,0.217600,0.853218,-4.382910,0.209950,0.582197,-4.193714
9.6800,0.248049,0.665130,-4.996211,0.229753,0.405401,-4.575666
9.7200,0.270525,0.455664,-5.448929,0.242215,0.216144,-4.812723
9.7600,0.284306,0.231553,-5.726515,0.246957,0.020383,-4.898850
9.8000,0.288950,-0.000000,-5.820045,0.243841,-0.175764,-4.832052
9.8400,0.284306,-0.231553,-5.726515,0.232973,-0.366181,-4.614276
9.8800,0.270525,-0.455664,-5.448929,0.214702,-0.544907,-4.251454
9.9200,0.248049,-0.665130,-4.996211,0.189612,-0.706298,-3.753640
9.9600,0.217600,-0.853218,-4.382910,0.158499,-0.845198,-3.135156
10.0000,0.180157,-1.013883,-3.628739,0.122356,-0.957110,-2.414614
10.0400,0.136924,-1.141960,-2.757937,0.082339,-1.038367,-1.614666
10.0800,0.089290,-1.233334,-1.798493,0.039732,-1.086283,-0.761410
10.1200,0.038787,-1.285068,-0.781244,-0.004097,-1.099280,0.116591
10.1600,-0.012964,-1.295499,0.261115,-0.047739,-1.076956,0.989590
10.2000,-0.064297,-1.264291,1.295082,-0.089793,-1.020112,1.828093
10.2400,-0.113565,-1.192448,2.287423,-0.128914,-0.930709,2.604277
10.2800,-0.159182,-1.082278,3.206245,-0.163856,-0.811770,3.293189
10.3200,-0.199683,-0.937324,4.022016,-0.193514,-0.667254,3.873609
10.3600,-0.233765,-0.762243,4.708516,-0.216958,-0.501882,4.328539
10.4000,-0.260335,-0.562662,5.243680,-0.233457,-0.320970,4.645348
10.4400,-0.278537,-0.344998,5.610308,-0.242504,-0.130254,4.815685
10.4800,-0.287787,-0.116245,5.796615,-0.243826,0.064284,4.835307
10.5200,-0.287787,0.116245,5.796615,-0.237392,0.256571,4.703931
10.5600,-0.278537,0.344998,5.610308,-0.223411,0.440599,4.425201
10.6000,-0.260335,0.562662,5.243680,-0.202331,0.610587,4.006769
10.6400,-0.233765,0.762243,4.708516,-0.174823,0.761140,3.460444
10.6800,-0.199683,0.937324,4.022016,-0.141764,0.887422,2.802285
10.7200,-0.159182,1.082278,3.206245,-0.104208,0.985323,2.052513
10.7600,-0.113565,1.192448,2.287423,-0.063360,1.051623,1.235114
10.8000,-0.064297,1.264291,1.295082,-0.020530,1.084132,0.377080
10.8400,-0.012964,1.295499,0.261115,0.022906,1.081790,-0.492691
10.8800,0.038787,1.285068,-0.781244,0.065550,1.044717,-1.344747
10.9200,0.089290,1.233334,-1.798493,0.106037,0.974210,-2.150501
10.9600,0.136924,1.141960,-2.757937,0.143073,0.872677,-2.883554
11.0000,0.180157,1.013883,-3.628739,0.175482,0.743526,-3.520739
11.0400,0.217600,0.853218,-4.382910,0.202243,0.591018,-4.042817
11.0800,0.248049,0.665130,-4.996211,0.222518,0.420100,-4.434812
11.1200,0.270525,0.455664,-5.448929,0.235678,0.236233,-4.686044
11.1600,0.284306,0.231553,-5.726515,0.241321,0.045217,-4.790009
11.2000,0.288950,-0.000000,-5.820045,0.239280,-0.146968,-4.744210
11.2400,0.284306,-0.231553,-5.726515,0.229628,-0.334320,-4.550060
11.2800,0.270525,-0.455664,-5.448929,0.212677,-0.510973,-4.212901
11.3200,0.248049,-0.665130,-4.996211,0.188968,-0.671352,-3.742114
11.3600,0.217600,-0.853218,-4.382910,0.159255,-0.810342,-3.151252
11.4000,0.180157,-1.013883,-3.628739,0.124486,-0.923452,-2.458051
11.4400,0.136924,-1.141960,-2.757937,0.085773,-1.006986,-1.684221
11.4800,0.089290,-1.233334,-1.798493,0.044358,-1.058190,-0.854891
11.5200,0.038787,-1.285068,-0.781244,0.001572,-1.075377,0.002293
11.5600,-0.012964,-1.295499,0.261115,-0.041210,-1.058006,0.858372
