t_s,theta_rad,omega_rad_s,alpha_rad_s2
21.1600,0.201304,0.335385,-3.872287
21.2000,0.211391,0.166685,-4.255014
21.2400,0.214638,-0.005016,-4.287858
21.2800,0.210990,-0.176343,-4.243204
21.3200,0.200531,-0.344473,-3.843522
21.3600,0.183432,-0.483825,-3.231057
21.4000,0.161825,-0.602957,-2.939661
21.4400,0.135196,-0.718998,-2.649732
21.4800,0.104305,-0.814936,-2.308522
21.5200,0.070001,-0.903680,-1.539779
21.5600,0.032011,-0.938118,-0.209673
21.6000,-0.005049,-0.920454,0.533976
21.6400,-0.041626,-0.895400,0.940393
21.6800,-0.076681,-0.845222,1.336872
21.7200,-0.109243,-0.788450,1.934110
21.7600,-0.139757,-0.690493,3.009507
21.8000,-0.164483,-0.547690,3.631697
21.8400,-0.183572,-0.399958,3.840562
21.8800,-0.196479,-0.240445,3.984412
21.9200,-0.202807,-0.081205,3.923796
21.9600,-0.202976,0.073459,3.929086
22.0000,-0.196931,0.233122,3.985811
22.0400,-0.184326,0.392324,3.843601
22.0800,-0.165545,0.540610,3.642493
22.1200,-0.141077,0.683723,2.999261
22.1600,-0.110847,0.780551,1.912674
22.2000,-0.078633,0.836737,1.336497
22.2400,-0.043908,0.887471,0.957799
22.2800,-0.007635,0.913361,0.560270
22.3200,0.029161,0.932293,-0.185620
22.3600,0.066948,0.898511,-1.529110
22.4000,0.101042,0.809964,-2.300016
22.4400,0.131745,0.714510,-2.634596
22.4800,0.158203,0.599196,-2.919501
22.5200,0.179681,0.480950,-3.198179
22.5600,0.196679,0.343342,-3.787651
22.6000,0.207148,0.177938,-4.175010
22.6400,0.210914,0.009341,-4.217944
22.6800,0.207895,-0.159498,-4.187470
22.7200,0.198154,-0.325657,-3.804993
22.7600,0.181843,-0.463897,-3.212642
22.8000,0.161042,-0.582668,-2.937185
22.8400,0.135230,-0.698872,-2.658729
22.8800,0.105132,-0.795366,-2.322378
22.9200,0.071600,-0.884662,-1.567930
22.9600,0.034359,-0.920801,-0.261527
23.0000,-0.002064,-0.905584,0.473226
23.0400,-0.038087,-0.882942,0.872618
23.0800,-0.072699,-0.835775,1.257836
23.1200,-0.104949,-0.782316,1.847779
23.1600,-0.135284,-0.687952,2.920180
23.2000,-0.159985,-0.548701,3.542981
23.2400,-0.179181,-0.404514,3.750963
23.2800,-0.192347,-0.248624,3.895017
23.3200,-0.199070,-0.092913,3.848260
23.3600,-0.199780,0.059237,3.874451
23.4000,-0.194332,0.217044,3.937979
23.4400,-0.182416,0.374275,3.879150
23.4800,-0.164390,0.527376,3.655092
23.5200,-0.140226,0.666682,2.845798
23.5600,-0.111055,0.755039,1.827171
23.6000,-0.079823,0.812856,1.378204
23.6400,-0.046026,0.865296,1.229981
23.6800,-0.010599,0.911254,0.757146
23.7200,0.026874,0.925868,-0.501499
23.7600,0.063470,0.871135,-1.731011
23.8000,0.096565,0.787387,-2.177202
23.8400,0.126461,0.696958,-2.314987
23.8800,0.152321,0.602188,-2.673412
23.9200,0.174636,0.483086,-3.411921
23.9600,0.190968,0.329234,-3.928651
24.0000,0.200975,0.168793,-4.052934
24.0400,0.204472,0.004999,-4.083145
24.0800,0.201375,-0.157858,-4.063717
24.1200,0.191843,-0.320098,-3.738266
24.1600,0.175767,-0.456919,-3.163727
24.2000,0.155289,-0.573196,-2.873937
24.2400,0.129911,-0.686834,-2.770196
24.2800,0.100343,-0.794812,-2.388962
24.3200,0.066326,-0.877951,-1.260265
24.3600,0.030107,-0.895633,-0.037923
24.4000,-0.005324,-0.880985,0.454039
24.4400,-0.040372,-0.859310,0.622474
24.4800,-0.074069,-0.831187,1.084168
24.5200,-0.106867,-0.772577,2.187904
24.5600,-0.135875,-0.656155,3.159775
24.6000,-0.159360,-0.519795,3.467357
24.6400,-0.177459,-0.378766,3.547328
24.6800,-0.189661,-0.236008,3.633759
24.7200,-0.196340,-0.088066,3.860387
24.7600,-0.196706,0.072823,4.029539
24.8000,-0.190514,0.234297,3.956224
24.8400,-0.177962,0.389321,3.823798
24.8800,-0.159368,0.540201,3.296029
24.9200,-0.134746,0.653003,2.424876
24.9600,-0.107128,0.734191,1.958546
25.0000,-0.076011,0.809687,1.600717
25.0400,-0.042353,0.862249,1.236369
25.0800,-0.007031,0.908596,0.500716
25.1200,0.030335,0.902306,-0.818385
25.1600,0.065153,0.843125,-1.575949
25.2000,0.097785,0.776230,-1.954909
25.2400,0.127252,0.686733,-2.290179
25.2800,0.152723,0.593016,-2.665982
25.3200,0.174693,0.473454,-3.413023
25.3600,0.190600,0.319974,-3.899809
25.4000,0.200291,0.161469,-4.019122
25.4400,0.203517,-0.001556,-4.069812
25.4800,0.200166,-0.164116,-3.830351
25.5200,0.190388,-0.307984,-3.448463
25.5600,0.175528,-0.439993,-3.276287
25.6000,0.155189,-0.570087,-3.058240
25.6400,0.129921,-0.684652,-2.791201
25.6800,0.100416,-0.793383,-2.108844
25.7200,0.066450,-0.853359,-0.918851
25.7600,0.032148,-0.866891,-0.239199
